Facility ID,Facility Name,Address,City,Zip,Fallback_Address,Full_Address_Fallback,fallback_latitude,fallback_longitude,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,fallback_status,locatr_probe_pass,locatr_query,locatr_latitude,locatr_longitude,locatr_score,locatr_addr_type,locatr_match_addr,locatr_county,locatr_locality,locatr_probe_status
NJ50625,NEW JERSEY VETERANS MEMORIAL VINELAND,524 NORTH WEST BLVD,VINELAND,08360,524 NORTH WEST BOULEVARD,"524 NORTH WEST BOULEVARD, VINELAND, NJ 08360",39.496989573939,-75.025464907793,14,"524 NORTH WEST BOULEVARD, VINELAND, , 08360",Match,Exact,"524 NW BLVD, VINELAND, NJ, 08360",174110734,L,Fallback matched,address,"524 NORTH WEST BOULEVARD, VINELAND, NJ 08360",39.495029039446,-75.027676380718,100,PointAddress,"524 N West Blvd, Vineland, New Jersey, 08360",Cumberland County,Vineland city,candidate_in_region
NJ60202,EMERSON HEALTH CARE CENTER,100 KINDERKAMACK ROAD,EMERSON,07630,100 KINDERKAMACK ROAD,"100 KINDERKAMACK ROAD, EMERSON, NJ 07630",NA,NA,15,"100 KINDERKAMACK ROAD, EMERSON, , 07630",No_Match,NA,NA,NA,NA,Still unmatched,address,"100 KINDERKAMACK ROAD, EMERSON, NJ 07630",40.973142502351,-74.029184511876,100,PointAddress,"100 Kinderkamack Rd, Emerson, New Jersey, 07630",Bergen County,Emerson borough,candidate_in_region
NJ60222,CAREONE AT NEW MILFORD,800 RIVER ROAD,NEW MILFORD,07646,800 RIVER ROAD,"800 RIVER ROAD, NEW MILFORD, NJ 07646",42.843291074397,-71.717531405794,16,"800 RIVER ROAD, NEW MILFORD, , 07646",Match,Non_Exact,"800 N RIVER RD, MILFORD, NH, 03055",658210415,L,Fallback matched,address,"800 RIVER ROAD, NEW MILFORD, NJ 07646",40.929117519841,-74.026189490234,100,PointAddress,"800 River Rd, New Milford, New Jersey, 07646",Bergen County,New Milford borough,candidate_in_region
NJ60230,BERGEN COUNTY HEALTH CARE CTR,35 B PIERMONT ROAD,ROCKLEIGH,07647,35 B PIERMONT ROAD,"35 B PIERMONT ROAD, ROCKLEIGH, NJ 07647",NA,NA,17,"35 B PIERMONT ROAD, ROCKLEIGH, , 07647",No_Match,NA,NA,NA,NA,Still unmatched,name,"BERGEN COUNTY HEALTH CARE CTR, ROCKLEIGH, NJ",41.005534,-73.931715,100,POI,Bergen County Health Care Ctr,Bergen County,Rockleigh borough,candidate_in_region
NJ60234,CAREONE AT ORADELL,600 KINDERKAMACK ROAD,ORADELL,07649,600 KINDERKAMACK ROAD,"600 KINDERKAMACK ROAD, ORADELL, NJ 07649",NA,NA,18,"600 KINDERKAMACK ROAD, ORADELL, , 07649",No_Match,NA,NA,NA,NA,Still unmatched,address,"600 KINDERKAMACK ROAD, ORADELL, NJ 07649",40.961073232331,-74.030063941157,100,PointAddress,"600 Kinderkamack Rd, Oradell, New Jersey, 07649",Bergen County,Oradell borough,candidate_in_region
NJ60302,ASPEN HILLS HEALTHCARE CENTER,600 PEMBERTON BROWN MILLS RD,PEMBERTON,08068,600 PEMBERTON BROWN MILLS ROAD,"600 PEMBERTON BROWN MILLS ROAD, PEMBERTON, NJ 08068",NA,NA,19,"600 PEMBERTON BROWN MILLS ROAD, PEMBERTON, , 08068",No_Match,NA,NA,NA,NA,Still unmatched,name,"ASPEN HILLS HEALTHCARE CENTER, PEMBERTON, NJ",39.967633,-74.63708,100,POI,Aspen Hills Healthcare Center,Burlington County,Pemberton township,candidate_in_region
NJ60503,FOUNTAIN SPRINGS AT CAPE MAY NURSING & REHAB CENTE,502 ROUTE 9 NORTH,CAPE MAY COURT HOUSE,08210,502 STATE ROUTE 9 NORTH,"502 STATE ROUTE 9 NORTH, CAPE MAY COURT HOUSE, NJ 08210",NA,NA,20,"502 STATE ROUTE 9 NORTH, CAPE MAY COURT HOUSE, , 08210",No_Match,NA,NA,NA,NA,Still unmatched,address,"502 STATE ROUTE 9 NORTH, CAPE MAY COURT HOUSE, NJ 08210",39.096183846284,-74.810789690731,100,PointAddress,"502 Route 9 N, Cape May Court House, New Jersey, 08210",Cape May County,Middle township,candidate_in_region
NJ60705,ALARIS HEALTH AT CEDAR GROVE,110 GROVE AVE,CEDAR GROVE,07009,110 GROVE AVENUE,"110 GROVE AVENUE, CEDAR GROVE, NJ 07009",43.561507996928,-87.825658802485,21,"110 GROVE AVENUE, CEDAR GROVE, , 07009",Match,Non_Exact,"110 GROVE CT, CEDAR GROVE, WI, 53013",79526834,L,Fallback matched,address,"110 GROVE AVENUE, CEDAR GROVE, NJ 07009",40.849418361135,-74.237312364502,100,PointAddress,"110 Grove Ave, Cedar Grove, New Jersey, 07009",Essex County,Cedar Grove township,candidate_in_region
NJ60733,PARK CRESCENT HEALTHCARE & REHABILITATION CENTER,480 PARKWAY DRIVE,EAST ORANGE,07017,480 PARKWAY DRIVE,"480 PARKWAY DRIVE, EAST ORANGE, NJ 07017",NA,NA,22,"480 PARKWAY DRIVE, EAST ORANGE, , 07017",No_Match,NA,NA,NA,NA,Still unmatched,name,"PARK CRESCENT HEALTHCARE & REHABILITATION CENTER, EAST ORANGE, NJ",40.777042,-74.199957,100,POI,Park Crescent Healthcare & Rehabilitation Center,Essex County,East Orange city,candidate_in_region
NJ60904,ALARIS HEALTH AT BOULEVARD EAST,6819 BOULEVARD EAST,GUTTENBERG,07093,6819 BOULEVARD EAST,"6819 BOULEVARD EAST, GUTTENBERG, NJ 07093",NA,NA,23,"6819 BOULEVARD EAST, GUTTENBERG, , 07093",No_Match,NA,NA,NA,NA,Still unmatched,address,"6819 BOULEVARD EAST, GUTTENBERG, NJ 07093",40.790517260689,-74.001353408211,100,PointAddress,"6819 Boulevard East, West New York, New Jersey, 07093",Hudson County,Guttenberg town,candidate_in_region
NJ60921,CAREONE AT MADISON AVENUE,151 MADISON AVENUE,MORRISTOWN,07960,151 MADISON AVENUE,"151 MADISON AVENUE, MORRISTOWN, NJ 07960",NA,NA,24,"151 MADISON AVENUE, MORRISTOWN, , 07960",No_Match,NA,NA,NA,NA,Still unmatched,address,"151 MADISON AVENUE, MORRISTOWN, NJ 07960",40.78786300532,-74.459542350126,100,PointAddress,"151 Madison Ave, Morristown, New Jersey, 07960",Morris County,Morristown town,candidate_in_region
NJ61204,ROSE MOUNTAIN CARE CENTER,ROUTE 1 & 18,NEW BRUNSWICK,08901,STATE ROUTE 1 & 18,"STATE ROUTE 1 & 18, NEW BRUNSWICK, NJ 08901",NA,NA,25,"STATE ROUTE 1 & 18, NEW BRUNSWICK, , 08901",No_Match,NA,NA,NA,NA,Still unmatched,name,"ROSE MOUNTAIN CARE CENTER, NEW BRUNSWICK, NJ",40.485447,-74.417544,100,POI,Rose Mountain Care Center,Middlesex County,New Brunswick city,candidate_in_region
NJ61217,"COMPLETE CARE AT MADISON, LLC",625 STATE HIGHWAY 34,MATAWAN,07747,625 STATE STATE HIGHWAY 34,"625 STATE STATE HIGHWAY 34, MATAWAN, NJ 07747",NA,NA,26,"625 STATE STATE HIGHWAY 34, MATAWAN, , 07747",No_Match,NA,NA,NA,NA,Still unmatched,address,"625 STATE STATE HIGHWAY 34, MATAWAN, NJ 07747",40.417896905177,-74.250039111008,98.04,PointAddress,"625 State Route 34, Matawan, New Jersey, 07747",Middlesex County,Old Bridge township,candidate_in_region
NJ61312,CAREONE AT HOLMDEL,188 HIGHWAY 34,HOLMDEL,07733,188 STATE HIGHWAY 34,"188 STATE HIGHWAY 34, HOLMDEL, NJ 07733",NA,NA,27,"188 STATE HIGHWAY 34, HOLMDEL, , 07733",No_Match,NA,NA,NA,NA,Still unmatched,address,"188 STATE HIGHWAY 34, HOLMDEL, NJ 07733",40.345415432938,-74.195479366708,98.9,StreetAddressExt,"188 State Highway 34, Holmdel, New Jersey, 07733",Monmouth County,Holmdel township,candidate_in_region
NJ61326,COMPLETE CARE AT SHREWSBURY LLC,89 AVENUE AT THE COMMON,SHREWSBURY,07702,89 AVENUE AT THE COMMON,"89 AVENUE AT THE COMMON, SHREWSBURY, NJ 07702",NA,NA,28,"89 AVENUE AT THE COMMON, SHREWSBURY, , 07702",No_Match,NA,NA,NA,NA,Still unmatched,address,"89 AVENUE AT THE COMMON, SHREWSBURY, NJ 07702",40.31567465063,-74.059205723023,99.84,PointAddress,"89 Avenue at the Cmn, Shrewsbury, New Jersey, 07702",Monmouth County,Shrewsbury borough,candidate_in_region
NJ61329,SUNNYSIDE MANOR,2500 RIDGEWOOD ROAD,WALL,07719,2500 RIDGEWOOD ROAD,"2500 RIDGEWOOD ROAD, WALL, NJ 07719",NA,NA,29,"2500 RIDGEWOOD ROAD, WALL, , 07719",No_Match,NA,NA,NA,NA,Still unmatched,name,"SUNNYSIDE MANOR, WALL, NJ",40.142924,-74.086839,100,POI,Sunnyside Manor,Monmouth County,Wall township,candidate_in_region
NJ61335,IMPERIAL CARE CENTER,919 GREEN GROVE ROAD,NEPTUNE,07753,919 GREEN GROVE ROAD,"919 GREEN GROVE ROAD, NEPTUNE, NJ 07753",NA,NA,30,"919 GREEN GROVE ROAD, NEPTUNE, , 07753",No_Match,NA,NA,NA,NA,Still unmatched,address,"919 GREEN GROVE ROAD, NEPTUNE, NJ 07753",40.225297114917,-74.073521007818,100,PointAddress,"919 Green Grove Rd, Neptune, New Jersey, 07753",Monmouth County,Neptune township,candidate_in_region
NJ61343,APPLEWOOD ESTATES,ONE APPLEWOOD DRIVE,FREEHOLD,07728,1 APPLEWOOD DRIVE,"1 APPLEWOOD DRIVE, FREEHOLD, NJ 07728",NA,NA,31,"1 APPLEWOOD DRIVE, FREEHOLD, , 07728",No_Match,NA,NA,NA,NA,Still unmatched,address,"1 APPLEWOOD DRIVE, FREEHOLD, NJ 07728",40.248983367462,-74.31559162881,100,PointAddress,"1 Applewood Dr, Freehold, New Jersey, 07728",Monmouth County,Freehold township,candidate_in_region
NJ61417,MORRISTOWN POST ACUTE REHAB AND NURSING CENTER,77 MADISON AVENUE,MORRISTOWN,07960,77 MADISON AVENUE,"77 MADISON AVENUE, MORRISTOWN, NJ 07960",NA,NA,32,"77 MADISON AVENUE, MORRISTOWN, , 07960",Tie,NA,NA,NA,NA,Fallback tie,address,"77 MADISON AVENUE, MORRISTOWN, NJ 07960",40.787494997861,-74.465829531879,100,PointAddress,"77 Madison Ave, Morristown, New Jersey, 07960",Morris County,Morristown town,candidate_in_region
NJ61421,CHESHIRE HOME,9 RIDGEDALE AVE,FLORHAM PARK,07932,9 RIDGEDALE AVENUE,"9 RIDGEDALE AVENUE, FLORHAM PARK, NJ 07932",NA,NA,33,"9 RIDGEDALE AVENUE, FLORHAM PARK, , 07932",No_Match,NA,NA,NA,NA,Still unmatched,address,"9 RIDGEDALE AVENUE, FLORHAM PARK, NJ 07932",40.772129041502,-74.405324931445,100,PointAddress,"9 Ridgedale Ave, Florham Park, New Jersey, 07932",Morris County,Florham Park borough,candidate_in_region
NJ61527,LEISURE PARK HEALTH CENTER,1400 ROUTE 70,LAKEWOOD,08701,1400 STATE ROUTE 70,"1400 STATE ROUTE 70, LAKEWOOD, NJ 08701",NA,NA,34,"1400 STATE ROUTE 70, LAKEWOOD, , 08701",No_Match,NA,NA,NA,NA,Still unmatched,name,"LEISURE PARK HEALTH CENTER, LAKEWOOD, NJ",40.05215,-74.174317,100,POI,Leisure Park Health Center,Ocean County,Lakewood township,candidate_in_region
NJ61703,AUTUMN LAKE HEALTHCARE AT SALEM COUNTY,438 SALEM-WOODSTOWN ROAD,SALEM,08079,438 SALEM-WOODSTOWN ROAD,"438 SALEM-WOODSTOWN ROAD, SALEM, NJ 08079",NA,NA,35,"438 SALEM-WOODSTOWN ROAD, SALEM, , 08079",No_Match,NA,NA,NA,NA,Still unmatched,address,"438 SALEM-WOODSTOWN ROAD, SALEM, NJ 08079",39.596548848598,-75.432151823971,100,PointAddress,"438 Salem Woodstown Rd, Salem, New Jersey, 08079",Salem County,Mannington township,candidate_in_region
NJ61705,MATER DEI NURSING HOME,176 ROUTE 40,NEWFIELD,08344,176 STATE ROUTE 40,"176 STATE ROUTE 40, NEWFIELD, NJ 08344",NA,NA,36,"176 STATE ROUTE 40, NEWFIELD, , 08344",No_Match,NA,NA,NA,NA,Still unmatched,address,"176 STATE ROUTE 40, NEWFIELD, NJ 08344",39.595130965856,-75.118619694895,100,PointAddress,"176 State Hwy 40, Newfield, New Jersey, 08344",Salem County,Upper Pittsgrove township,candidate_in_region
NJ61804,FRANKLIN CARE CENTER,3371 NJ 27,FRANKLIN PARK,08823,3371 NJ 27,"3371 NJ 27, FRANKLIN PARK, NJ 08823",NA,NA,37,"3371 NJ 27, FRANKLIN PARK, , 08823",No_Match,NA,NA,NA,NA,Still unmatched,address,"3371 NJ 27, FRANKLIN PARK, NJ 08823",40.429083979888,-74.560341022238,100,PointAddress,"3371 State Route 27, Franklin Park, New Jersey, 08823",Somerset County,Franklin township,candidate_in_region
NJ61806,COMPLETE CARE AT GREEN KNOLL,875 ROUTE 202-206 NORTH,BRIDGEWATER,08807,875 STATE ROUTE 202-206 NORTH,"875 STATE ROUTE 202-206 NORTH, BRIDGEWATER, NJ 08807",NA,NA,38,"875 STATE ROUTE 202-206 NORTH, BRIDGEWATER, , 08807",No_Match,NA,NA,NA,NA,Still unmatched,name,"COMPLETE CARE AT GREEN KNOLL, BRIDGEWATER, NJ",40.615481,-74.626987,100,POI,Complete Care At Green Knoll,Somerset County,Bridgewater township,candidate_in_region
NJ61810,CAREONE AT SOMERSET VALLEY,1621 ROUTE 22 WEST,BOUND BROOK,08805,1621 STATE ROUTE 22 WEST,"1621 STATE ROUTE 22 WEST, BOUND BROOK, NJ 08805",NA,NA,39,"1621 STATE ROUTE 22 WEST, BOUND BROOK, , 08805",No_Match,NA,NA,NA,NA,Still unmatched,address,"1621 STATE ROUTE 22 WEST, BOUND BROOK, NJ 08805",40.576370111935,-74.549679828132,96.15,PointAddress,"1621 US Highway 22, Bound Brook, New Jersey, 08805",Somerset County,Bridgewater township,candidate_in_region
NJ61811,BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER,270 ROUTE 28,BRIDGEWATER,08807,270 STATE ROUTE 28,"270 STATE ROUTE 28, BRIDGEWATER, NJ 08807",NA,NA,40,"270 STATE ROUTE 28, BRIDGEWATER, , 08807",No_Match,NA,NA,NA,NA,Still unmatched,address,"270 STATE ROUTE 28, BRIDGEWATER, NJ 08807",40.595434960255,-74.666895463442,100,PointAddress,"270 State Route 28, Bridgewater, New Jersey, 08807",Somerset County,Bridgewater township,candidate_in_region
NJ61813,MCAULEY HALL HEALTH CARE CENTE,1633 HIGHWAY 22,WATCHUNG,07069,1633 STATE HIGHWAY 22,"1633 STATE HIGHWAY 22, WATCHUNG, NJ 07069",NA,NA,41,"1633 STATE HIGHWAY 22, WATCHUNG, , 07069",No_Match,NA,NA,NA,NA,Still unmatched,address,"1633 STATE HIGHWAY 22, WATCHUNG, NJ 07069",40.646576807204,-74.414379649989,100,PointAddress,"1633 Route 22, Watchung, New Jersey, 07069",Somerset County,Watchung borough,candidate_in_region
NJ61902,MOHAWK MEADOWS,1 O'BRIEN LANE,LAFAYETTE,07848,1 O'BRIEN LANE,"1 O'BRIEN LANE, LAFAYETTE, NJ 07848",NA,NA,42,"1 O'BRIEN LANE, LAFAYETTE, , 07848",No_Match,NA,NA,NA,NA,Still unmatched,address,"1 O'BRIEN LANE, LAFAYETTE, NJ 07848",41.044900017346,-74.698900000518,100,PointAddress,"1 Obrien Ln, Lafayette, New Jersey, 07848",Sussex County,Andover township,candidate_in_region
NJ62004,CORNELL HALL CARE & REHABILITATION CENTER,234 CHESTNUT STREET,UNION,07083,234 CHESTNUT STREET,"234 CHESTNUT STREET, UNION, NJ 07083",NA,NA,43,"234 CHESTNUT STREET, UNION, , 07083",Tie,NA,NA,NA,NA,Fallback tie,address,"234 CHESTNUT STREET, UNION, NJ 07083",40.673509831854,-74.267478247298,100,PointAddress,"234 Chestnut St, Union, New Jersey, 07083",Union County,Union township,candidate_in_region
NJ62102,WARREN HAVEN REHAB AND NURSING CENTER,350 OXFORD ROAD,OXFORD,07863,350 OXFORD ROAD,"350 OXFORD ROAD, OXFORD, NJ 07863",NA,NA,44,"350 OXFORD ROAD, OXFORD, , 07863",Tie,NA,NA,NA,NA,Fallback tie,address,"350 OXFORD ROAD, OXFORD, NJ 07863",40.827889987653,-74.947559970872,100,PointAddress,"350 Oxford Rd, Oxford, New Jersey, 07863",Warren County,Mansfield township,candidate_in_region
NJ62202,CARNEGIE POST ACUTE CARE AT PRINCETON LLC,5000 WINDROW DRIVE,PRINCETON,08540,5000 WINDROW DRIVE,"5000 WINDROW DRIVE, PRINCETON, NJ 08540",NA,NA,45,"5000 WINDROW DRIVE, PRINCETON, , 08540",No_Match,NA,NA,NA,NA,Still unmatched,address,"5000 WINDROW DRIVE, PRINCETON, NJ 08540",40.358282379042,-74.616245215114,100,PointAddress,"5000 Windrow Dr, Princeton, New Jersey, 08540",Middlesex County,Plainsboro township,candidate_in_region
NJ62203,FOREST HILLS CENTER FOR REHABILITATION AND HEALING,497 MT PROSPECT AVE,NEWARK,07104,497 MOUNT PROSPECT AVENUE,"497 MOUNT PROSPECT AVENUE, NEWARK, NJ 07104",NA,NA,46,"497 MOUNT PROSPECT AVENUE, NEWARK, , 07104",Tie,NA,NA,NA,NA,Fallback tie,address,"497 MOUNT PROSPECT AVENUE, NEWARK, NJ 07104",40.76862238849,-74.16862870295,100,PointAddress,"497 Mount Prospect Ave, Newark, New Jersey, 07104",Essex County,Newark city,candidate_in_region
NJ62216,HAMILTON PLACE AT THE PINES AT WHITING,507 ROUTE 530,WHITING,08759,507 STATE ROUTE 530,"507 STATE ROUTE 530, WHITING, NJ 08759",NA,NA,47,"507 STATE ROUTE 530, WHITING, , 08759",No_Match,NA,NA,NA,NA,Still unmatched,address,"507 STATE ROUTE 530, WHITING, NJ 08759",39.947680016024,-74.351619982324,100,PointAddress,"507 Route 530, Whiting, New Jersey, 08759",Ocean County,Manchester township,candidate_in_region
NJ80413,SOUTHERN OCEAN CENTER,1361 ROUTE 72 WEST,MANAHAWKIN,08050,1361 STATE ROUTE 72 WEST,"1361 STATE ROUTE 72 WEST, MANAHAWKIN, NJ 08050",NA,NA,48,"1361 STATE ROUTE 72 WEST, MANAHAWKIN, , 08050",No_Match,NA,NA,NA,NA,Still unmatched,address,"1361 STATE ROUTE 72 WEST, MANAHAWKIN, NJ 08050",39.725260012655,-74.290940032476,100,PointAddress,"1361 Route 72 W, Manahawkin, New Jersey, 08050",Ocean County,Stafford township,candidate_in_region
